,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
0,HP V194,Regular,18.5,Widescreen,LED Backlight,1366x768 (WxH) HD,5ms,60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,View angle: 90degree (H) - 65degree (V),Black,V5E94AA,3 year,China,USA,,,,,,,,,,,,,5970,5550
1,Acer V196HQL,Regular,18.5,Widescreen,HD LED,1366x768 (WxH) HD,5ms,,"90 degree (H), 65 degree (V)",1,200cd/m2,100000000:1,"Viewing Angle: 90 (H), 65 (V), panel type: TN",Black,UM.XV6SS.A09,3 year,,,,,,,,,,,,,,,5970,5600
2,Dell E1916H,Regular,18.5,Widescreen,LED,1366x768 (WxH) HD,5ms,60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,"Color: Black, Panel Type: TN, Aspect Ratio: Widescreen - 16:9, Pixel Pitch: 0.3 mm, Color Support: 16.7 million colors, Screen Coating: Anti-glare, 3H Hard Coating, Backlight Technology: WLED, Controls & Adjustments: Brightness, contrast, H/V position, sharpness, input select, color temperature, phase",Black,,3 year,,,1,"72% (CIE 1931) color gamut, 82% (CIE 1976) color gamut, LED edgelight system, adjustable LED power indicator, Energy Gauge, backlight dimming control, Screen performance, Plug and view, Mounting option, Tilt at will, Convenient controls, Eco-conscious and reliable",,,,,,,,,,,6080,5700
3,AOC E2070SWNE,Regular,19.5,Widescreen,LED TN Display,1366x768 (WxH) HD,5ms,,"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Typical), 20,000,000:1 (DCR)","Pixel Pitch: 0.27, Display Area: 433.7894(H)x235.776 (V)mm, Display Colours: 16.7M, Input Signal: Analog, Power Supply: Built-in, Power Consumption: 15W, Wall-Mount: VESA 100x100mm",Black,,3 year,,,,"19.5 Inch TN Monitor, upgraded to a 16.7 Million Color FRC 8-bit panel, offering nearly 10 percent more colors than 6-bit panels, Combined with its 20,000,000:1 Ultra-high Dynamic Contrast Ratio, it displays sharp details in deep vivid color, A brushed surface texture presents a refined appearance. AOC signature features are included such as Ultra Low Power, e-Saver and Screen+ software, i-Menu technology and a Mercury-free LED panel",464.5 x 344 x 176mm (With Base),,,,,,,,,,6190,5700
4,ViewSonic VA1903H,Regular,19,Widescreen,HD LED,1366 x 768 Pixels,5ms,60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Typical), 50M:1 (DCR)","Panel Type: TN Technology, Pixel Size: 0.3 mm (H) x 0.3 mm (V), 3.5mm Audio Out: 1, Voltage: AC 100-240V, 50/60 Hz, Consumption (max): 17W, Consumption (typical): 15.3W, Kensington Lock Slot: 1, Weight: 2.1Kg (With Stand), 1.8Kg (Without Stand)",Black,,3 year,China,USA,,"HD LED Home and Office Monitor, HDMI and VGA inputs, VESA mountable, 50M:1 dynamic contrast ratio, ViewMode technology, 16:9 aspect ratio, widescreen monitor that delivers value and performance for both home offices and small businesses, Featuring a hairline surface finish, this monitor looks great on any desktop, Flicker-Free technology and a Blue Light Filter help to eliminate eyestrain from extended viewing periods for improved productivity, An energy-saving Eco-mode reduces cost of ownership, Flexible Connectivity, Rich Colour and Detail, Superior Colour Rendering & Intuitive Settings, Flicker-Free & Blue Light Filter, Comfortable Viewing, Low Energy Consumption","438 x 344 x 170mm (With Stand), 438 x 271 x 48mm (Without Stand)",1,16:9,,,,,,,,5970,5700
5,Dell E1916HV,Regular,18.5,Widescreen,LED,1366x768 (WxH) HD,5ms,60Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,600:1,"Color: Black, Panel Type: TN, Aspect Ratio: Widescreen - 16:9, Pixel Pitch: 0.3 mm, Color Support: 16.7 million colors, Screen Coating: Anti-glare, 3H Hard Coating, Backlight Technology: WLED, Controls & Adjustments: Brightness, contrast, H/V position, sharpness, input select, color temperature, phase",Black,,3 year,,,,"72% (CIE 1931) color gamut, 82% (CIE 1976) color gamut, LED edgelight system, adjustable LED power indicator, Energy Gauge, backlight dimming control, Screen performance, Plug and view, Mounting option, Tilt at will, Convenient controls, Eco-conscious and reliable",,,,,,,,,,,6190,5750
6,Dell D1918H,Regular,18.5,Widescreen,LED,1366x768 (WxH) HD,"5ms (white to black, black to white)",60Hz,"90 degree (H), 65 degree (V)",1,,600:1,"LCD Panel: TFT (with LED back light), Pixel Dimension: 0.3 x 0.3 mm, Color gamut: 72% of NTSC (CIE1931), Color Depth: 16.7 Million, Active Display Area: 409.8 x 230.4 mm, VESA mount support: 75 x 75mm, Power: Input Voltage AC100-240 V",Black,,3 year,,,,,438 x 342 x 147mm (with stand),1,,,,,,,,,6190,5800
7,Viewsonic VA1901-A 19 Inch,Regular,18.5,Widescreen,LED,1366x768 (WxH) HD,5ms,50 - 75Hz,"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Normal), 50000000:1 (Dynamic)","VESA Mountable, Display Area : 409.8mm (H) x 230.4mm (V), Sync : Separate Sync, Compatibility: Windows 7, 8, 8.1, 10, Mac, Voltage : AC 100-240V (Universal); 50/60Hz, Consumption : 11W, Optimize : 9W, Conserve : 7W, DIMENSIONS (W x H x D): 441.9 x 268.3 x 48.2mm, WEIGHT: 1.75Kg",Black,,3 year,China,USA,,"DDC/2B, DDC/CI, KENSINGTON Microsaver Security Compatible, Flicker Free, Blue light filter, 16:9 widescreen LCD Monitor with 1366 x 768 resolution, VGA connectivity, Enhanced viewing comfort, Superior colour rendering and intuitive settings, Energy-saving Eco-mode",,,,,,,,,,,6290,5900
8,AOC E970SWHEN,Regular,18.5,Widescreen,LED TN Display,1366x768 (WxH) HD,5ms,50-76Hz (V),"90 degree (H), 65 degree (V)",1,200cd/m2,"600:1 (Typical), 20M:1 (DCR)","LCD panel type: TPV, Backlight type: W-LED system, Effective viewing area: 409.8 (H) x 230.4 (V)mm, Pixel pitch: 0.3mm(H) x 0.3 mm(V), Display colors: 16.7 Million Colors, Sync Input: Separate Sync, Standby mode: 0.5w (typ.), Power supply: 100-240VAC, 50/60Hz, Internal",Black,,3 year,,,,"18.5 inch TN Monitor, Slim, energy-efficient LED display, Compact 18.5","437.37 x 336.8 x 156mm (with stand), 437.37 x 273.1 x 47.98mm (without stand)",1,16:9,,,,,,,,6510,6100
9,AOC I2080SW,Regular,,Widescreen,IPS,1440x900 (WxH) WXGA+,5ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Static), 20M:1 (Dynamic)","Color: Black, Panel type: IPS, Backlight: WLED, Pixel pitch: 0.2907, Active Screen Area: 418,61 x 262,35 mm, Colors: 16.7 Million, Bezel type: Normal, Scanning Frequency: 30-83 kHz (H) / 50-76 Hz (V), Power Source: 100 - 240V 50/60Hz, Power Consumption On: 19 watt, weight: 2.14Kg",Black,,3 year,,,,"Featuring an IPS panel, enjoy accurate colors, wide viewing angles and impressive picture quality, Fast 5ms response time eliminates blurring to deliver smooth action sequences for more exciting movies and games, This versatile home display makes the perfect addition to home office or living room, and the integrated VESA mount also gives the option to hang it on the wall, With the built-in VGA connector",375 x 454.6 x 190mm (incl base),,16:10,,,,,,,,6780,6400
